commence_time,home_team,away_team,final_pick,home_goals,away_goals,pred_outcome,market_rows,market_available,bookmaker_count_h2h,market_p_home,market_p_draw,market_p_away,market_favourite,market_favourite_prob,totals_available,bookmaker_count_totals,total_line,market_p_over,market_p_under,market_total_lean,market_total_lean_prob,spreads_available,market_alignment_score,market_alignment_label,market_alignment_reasons,validation_score,validation_label,h2h_bookmaker_count,totals_bookmaker_count,spreads_bookmaker_count,market_depth_class,snapshot_id,snapshot_created_at_utc
2026-07-07T16:00:00Z,Argentina,Egypt,2-0,2,0,home,108,True,24.0,0.6923739573270157,0.2032446142168555,0.1043814284561286,home,0.6923739573270157,True,14.0,2.5,0.4709731599962387,0.5290268400037613,under,0.5290268400037613,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.966766,validated,24,15,0,strong,20260706T105814Z,2026-07-06T10:58:15.650535+00:00
2026-07-07T20:00:00Z,Switzerland,Colombia,0-1,0,1,away,108,True,24.0,0.2742572860230738,0.3114866307628232,0.414256083214103,away,0.414256083214103,True,11.0,2.5,0.3995239091901346,0.6004760908098653,under,0.6004760908098653,False,0.860692,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.518247,fragile,24,15,0,strong,20260706T105814Z,2026-07-06T10:58:15.650535+00:00
2026-07-09T20:00:00Z,France,Morocco,2-0,2,0,home,108,True,24.0,0.6028158235241786,0.2452403243136966,0.1519438521621248,home,0.6028158235241786,True,14.0,2.5,0.4790513599008366,0.5209486400991633,under,0.5209486400991633,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.73608,acceptable,24,15,0,strong,20260706T105814Z,2026-07-06T10:58:15.650535+00:00
2026-07-11T21:00:00Z,Norway,England,0-2,0,2,away,103,True,23.0,0.2358592903430685,0.2665746313208309,0.4975660783361005,away,0.4975660783361005,True,14.0,2.5,0.498421654500824,0.501578345499176,under,0.501578345499176,False,0.923175,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.512776,fragile,23,14,0,strong,20260706T105814Z,2026-07-06T10:58:15.650535+00:00
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0,2,away,101,True,23.0,0.2351629925961165,0.2695303068802911,0.4953067005235926,away,0.4953067005235926,True,12.0,2.5,0.5303553736205766,0.4696446263794233,over,0.5303553736205766,False,0.82148,market_aligned,pick outcome agrees with market favourite; spreads market unavailable,0.51184,fragile,23,13,0,strong,20260706T171255Z,2026-07-06T17:12:57.134496+00:00
2026-07-07T00:00:00Z,United States,Belgium,2-1,2,1,home,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.631333,acceptable,0,0,0,unavailable,20260706T171255Z,2026-07-06T17:12:57.134496+00:00
2026-07-07T16:00:00Z,Argentina,Egypt,2-0,2,0,home,103,True,23.0,0.7006607192303109,0.199825314563089,0.0995139662065999,home,0.7006607192303109,True,13.0,2.5,0.4729580334528921,0.527041966547108,under,0.527041966547108,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.967275,validated,23,14,0,strong,20260706T171255Z,2026-07-06T17:12:57.134496+00:00
2026-07-07T20:00:00Z,Switzerland,Colombia,0-1,0,1,away,103,True,23.0,0.2707934646834489,0.3109781377220845,0.4182283975944665,away,0.4182283975944665,True,11.0,2.5,0.3990265868648072,0.6009734131351928,under,0.6009734131351928,False,0.863671,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.519263,fragile,23,14,0,strong,20260706T171255Z,2026-07-06T17:12:57.134496+00:00
2026-07-09T20:00:00Z,France,Morocco,2-0,2,0,home,103,True,23.0,0.6024203692997407,0.2450876199509873,0.1524920107492719,home,0.6024203692997407,True,13.0,2.5,0.480341516344355,0.5196584836556448,under,0.5196584836556448,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.735976,acceptable,23,14,0,strong,20260706T171255Z,2026-07-06T17:12:57.134496+00:00
2026-07-11T21:00:00Z,Norway,England,1-2,1,2,away,103,True,23.0,0.2370348947702495,0.2607411134451339,0.5022239917846165,away,0.5022239917846165,True,13.0,2.5,0.5268569094720624,0.4731430905279375,over,0.5268569094720624,False,0.926668,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.514159,fragile,23,14,0,strong,20260706T171255Z,2026-07-06T17:12:57.134496+00:00
