generated_at_utc,snapshot_date,wallet_role,wallet_address,reconciliation_status,internal_nav_usd,data_api_nav_usd,onchain_nav_usd,max_pairwise_delta_usd,unexplained_discrepancy_usd,contracts_page_sha256,rpc_chain_id
2026-08-11T15:48:25Z,2026-08-11,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,852599a73d63738c7c5810208633d7628444fe57beb4078ac3fb0816eac8d4f2,137
2026-08-12T00:55:12Z,2026-08-12,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,24e5f13f654555aa2ddae01f8d62b1fbf6632903d2dc5ec22414f3fba342748d,137
2026-08-13T01:13:06Z,2026-08-13,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,1bebc96bd710cc5f7575a09c626b255707fed8a5416a48bc4d7af6bdbac5135b,137
2026-08-14T01:28:38Z,2026-08-14,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,604b22e4d06eb76e458dcfb1e41eba529bb38de4b12db50a44205da0523d14df,137
2026-08-15T01:46:41Z,2026-08-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,a4e22fbce85de758fb19ac2795ac9463d2a7143e6c295dcfeafaf26a7f4796c9,137
2026-08-15T09:28:06Z,2026-08-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,4bf6673447868c9e2c5118aa08f654354f916bba7d514eb76eb2d2697852c107,137
2026-08-15T10:18:18Z,2026-08-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,4bf6673447868c9e2c5118aa08f654354f916bba7d514eb76eb2d2697852c107,137
2026-08-15T12:19:03Z,2026-08-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,4bf6673447868c9e2c5118aa08f654354f916bba7d514eb76eb2d2697852c107,137
2026-08-16T02:01:01Z,2026-08-16,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,4bf6673447868c9e2c5118aa08f654354f916bba7d514eb76eb2d2697852c107,137
2026-08-17T02:20:17Z,2026-08-17,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,e4d2b79403ff941cb09104a3215760ac948d968dea05b8ddbe528851eba46350,137
2026-08-18T02:38:40Z,2026-08-18,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,f5d22b35fec24bf6d12e039a1b6e4b5b66e77ef740128b6c0d38ccd5902403b5,137
2026-08-19T02:56:09Z,2026-08-19,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,14727d2ad3e9b34473e71a2280942e3a15da3a5d79a4c246dba727b589b56760,137
2026-08-20T03:12:14Z,2026-08-20,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,ccbd455ef823afcdda0f301f9aef602014c731a90f5544360dba83322560991b,137
